mapped_taxid	genome_taxids:kmers_mapped:total_genome_kmers
89373	1834519:2232:6407936 1211326:1152:7959496 649349:295:4059554 1379870:1493:7029253 564064:2288:5828305 761193:724:6919135 471854:1572:6967691 1178516:2363:5797579 269798:410:4433119 1166018:3303:6928630 2029983:70:5279822 
1454606	1454606:168:4488272 
1412558	1412558:140:4641534 
1412557	1412557:663:4641248 
1412556	1412556:212:4642687 
1412555	1412555:1406:4643850 
1412554	1412554:220:4641685 
1412553	1412553:161:4642173 
1412552	1412552:140:4642199 
1412551	1412551:140:4643099 
1412550	1412550:156:4641073 
165826	165826:3506:5102 
1005048	1005048:3191011:5186640 2033032:70:5099110 1851544:140:4848002 305:70:61972245 
1923369	1923369:6521:8419 
1923368	1923368:6010:8243 
1005041	1005041:30160:2096767 
486809	486809:4070:5248 
1923493	1923493:8551:10863 
1005042	1005042:77618:2177557 
1923495	1923495:9009:11416 
1923494	1923494:8774:12342 
1923365	1923365:3192:4551 
1747287	1747287:32231:57901 
270	262724:559232:2127284 1111069:117251:2263290 456163:1021577:2015900 56956:128891:2387976 762633:714279:2303029 300852:578600:2115571 743525:110479:2354988 798128:720728:2310915 498848:132238:2338146 274:358428:2140467 751945:151845:2401032 
32012	75379:956405:3461798 426114:994681:3777472 455432:70:8918341 1851544:140:4848002 1411902:70:3956004 926:44834:3343230 
198833	198833:8906:10971 
274	262724:757092:2127284 274:1315854:2140467 798128:603752:2310915 300852:754303:2115571 762633:561814:2303029 
1857100	1857100:24647:89718 
32019	1240980:21009:1826428 360106:21723:1773516 
998088	2033032:11922:5099110 998088:1804484:4551684 2033033:92526:4615500 475662:70:4052931 
1132504	1132504:30918:2589741 
1132507	1132507:821:4949585 
1132506	1132506:47587:2637460 
1132501	1132501:26138:2601032 
1132503	1132503:65451:2664684 
326574	326574:22687:30790 
981323	981323:33326:45431 
1132508	1132508:371571:5257037 455432:70:8918341 
1907771	1907771:4101:5067 
980422	980422:230080:959680 
1495866	1495866:9379:12093 
1077832	1077832:2050:2885 
754397	754397:2630241:3434963 
1825688	1825688:2854:3507 
10708	10708:3806:37512 
10702	10702:38204:49121 
57477	57477:43241:153863 
10704	10704:47435:60096 
981222	981222:2891840:3695174 455432:70:8918341 
1049565	573:912:628984566 1049565:91386:5462035 
378806	13690:70:5532534 378806:7923379:10260657 358:70:16868268 
208084	208084:3472:4632 
1317107	1317107:1879:2673 
208086	208086:3215:4673 
697227	697227:83168:172154 
1838063	1838063:32478:46471 
708126	708126:1642181:2116300 
1327982	1327982:22516:39090 
309799	309799:1527132:1959888 
661367	661367:131760:4147162 
1732064	1732064:10070:40571 
12253	12253:4616:6284 
879274	1571470:6994:6284241 475662:70:4052931 575:70:5889394 1851544:209:4848002 879274:5391954:7352966 358:1782:16868268 
1732063	1732063:719:127627 
1185653	1185653:2894143:3804327 
1185652	1571470:840:6284241 1185652:4487740:7030343 475662:70:4052931 1851544:79:4848002 358:636:16868268 
1185650	1185650:14280:9373627 
1185654	1185654:10572:1909506 
1932360	1932360:2924702:3778692 
44249	189425:596381:7166365 189426:260324:6812374 59893:4242606:6219617 481743:107255:7121566 1619311:364026:4826366 1036673:16923:8663722 324057:11729:7184831 1536772:411398:7288822 1536773:399447:6931868 1536770:735122:6787073 1536771:1497018:7718426 1536774:170351:7692649 1536775:763509:6765784 1073571:596096:7919269 1333534:117209:5575385 1413214:356312:5827684 172713:375366:5778603 985665:387017:6083296 44251:117567:6053300 1126833:13929:5749868 1268072:160303:5270377 414771:115822:8542234 1763538:26808:4756785 2023772:7379:5562429 585:70:7756773 59843:109552:5897286 997761:17082:8819101 147375:6018:4289851 169760:52323:5658699 1462996:366615:4985802 1116391:17450:8738949 1536769:1722040:8422955 1178515:8975:5012500 1566358:38039:5787105 697284:6623:4055808 1616788:13552:5517001 528191:32808:7098041 162209:13143:5200040 1695218:7620:5375759 886882:341048:6238312 160799:912973:8156709 349520:1477578:5394784 1052684:343941:6230924 1429244:3298498:6019783 1477:18559:13758985 1406:10852186:35186840 
202568	202568:1485:2650 
1838286	1571470:70:6284241 1838286:3263494:4199185 1851544:70:4848002 305:70:61972245 
202567	202567:994:2669 
85618	85618:85960:108310 
604354	604354:1433415:1845701 
1805478	1805478:1678055:2176638 13690:52:5532534 2033033:70:4615500 853:70:2868833 
293284	293284:4154:5217 
190485	190485:36886:5075941 
190486	190486:302:5273876 
1922360	1922360:7196:9055 
452471	452471:1475468:1884265 
1922362	1922362:5770:7513 
439016	439016:6589:8827 
760530	760530:14759:139707 
46867	1351755:2235761:2887352 46867:4463402:5761936 
1032480	92644:70:10744033 1616117:70:9611775 455432:69:8918341 2033032:73:5099110 1032480:4396559:5683024 
1980410	1266451:20:16633 
698414	698414:301660:2543540 
38504	273119:58397:751620 505682:58626:751580 38504:64293:727190 
68173	68173:4826191:8027689 92644:190:10744033 1616117:2060:9611775 455432:70:8918341 
1933183	1933183:9902:12626 
164416	164416:8503:10715 
716928	1571470:1696:6284241 1411902:70:3956004 716928:4251558:6093730 2033032:70:5099110 358:632:16868268 
1843753	1843753:1733:2369 
192421	192421:5678141:7429959 
1843751	1843751:2064:2524 
1843750	1843750:1934:2656 
1843757	1843757:1924:2613 
1133671	1133671:3603:1899122 
390844	390844:8451:10738 
1843754	1843754:1941:2469 
435486	435486:701:1237 
1843758	1843758:2295:2509 
152219	152219:12219:15417 
278069	278069:842:1240 
565033	565033:1451823:1860716 
1986479	1986479:1455:2101 
1410331	1410331:20699:38867 
565034	565034:474586:3036436 
1382995	1382995:4164:5453 
1169409	1169409:229:2302773 
291027	1955054:18:2685 1076345:315:2622 326811:21:2661 938276:25:2663 1504732:217:2611 1738045:188:2655 202567:187:2669 1742594:96:5015 222441:38:2635 1737555:53:4974 944994:43:2651 163654:70:2287 452758:29:2656 1547577:5:2636 559878:39:5317 1333313:115:2643 223259:421:2655 1350389:813:2667 1200970:59:2642 508748:65:2638 1088661:140:2652 693892:97:2724 1532882:48:5242 1740165:32:2660 1925153:56:2692 1297645:222:2644 652717:589:2681 574890:70:2715 1899219:62:2650 1384631:36:2661 509532:211:5264 932073:42:4998 1827003:127:2738 1392388:290:2735 1303385:355:2662 1311277:54:5010 634441:1:2652 1266458:70:4895 1611435:1:5206 1884991:190:2643 908124:70:2624 1825931:87:2649 2021667:5:2530 667119:89:5192 1742595:47:5090 563180:495:2658 579113:30:2675 302100:39:2669 1633139:49:2638 1678003:93:2645 2020881:35:2647 543876:242:2644 1912344:208:2639 642493:29:2644 1432565:82:2654 1225069:16:2624 1288829:7:2649 53010:416:2654 1335768:72:2655 674996:210:2649 1931111:26:2639 671095:97:2645 1383052:50:2726 1498504:237:2654 935473:22:5208 1605995:801:2687 341711:260:2660 1632184:72:2657 653358:401:2692 417288:67:2646 507475:105:2651 1329380:62:2640 1489311:776:2686 1170656:351:2677 1227355:70:4965 1489312:927:2732 1904881:64:5032 1812308:59:5263 1602199:22:2562 1241370:25:2689 1904880:70:2537 526476:5:5283 1046571:17:5094 1507006:9:2679 
1986477	1986477:1670:2100 
1761895	1761895:93441:5868647 2018067:3740:6499265 
1822365	1822365:5629:7371 
660470	660470:2333433:2975755 
208435	208435:13058:2160168 
68287	1571470:2333:6284241 278148:3369597:6880256 1082933:266034:7343457 13690:70:5532534 935546:3647673:7481541 754035:702361:6200435 57320:70:4217611 682633:155399:6422510 763057:3772913:6872835 381:676544:8451481 39645:3405810:6943430 765698:3683200:6689830 1851544:9:4848002 536019:866158:6884345 1670800:9211:5324363 266835:1039859:7596000 1411902:277:3956004 278153:4122980:7197923 358:635:16868268 
208439	208439:4969692:9053659 92644:69:10744033 1616117:140:9611775 455432:224:8918341 
1136535	1136535:42865:61748 
1982367	691965:2480:76698 691964:2147:77965 
264198	264198:5346578:7254894 1851544:350:4848002 305:420:61972245 
264199	264199:61841:1796747 
419697	419697:13997:22420 
1685748	1685748:1335:1663 
1304892	1304892:19167:5296129 
400835	400835:1475:2645 
1052585	492670:69:111970200 1052585:626544:4207123 
1052588	1052588:687042:4011819 492670:284:111970200 
743685	743685:8281:10364 
479433	479433:8106998:10467683 853:70:2868833 305:70:61972245 575:70:5889394 455432:560:8918341 92644:139:10744033 1616117:253:9611775 
479432	92644:140:10744033 479432:7995188:10369320 1616117:1275:9611775 455432:280:8918341 
479431	479431:4688014:6060199 853:77:2868833 439334:85:10901270 2033032:70:5099110 455432:420:8918341 92644:178:10744033 
52242	52242:634205:2374188 
479437	479437:843700:3632161 
479435	479435:5855132:7579389 475662:70:4052931 455432:629:8918341 1851544:70:4848002 92644:70:10744033 1616117:280:9611775 
757417	757417:212:4410362 
89966	1356852:96122:5010198 1484118:39959:5366779 1411621:39049:4868753 1484116:28565:5450957 1385663:249499:3777037 1385664:249812:4359633 455432:70:8918341 1227739:85849:5251674 
291286	291286:7801:9838 
1187128	1187128:32354:46288 
